BayID	DeviceID	Description1	Description2	Description3	Description4	Description5	Description6	DisabilityExt1	DisabilityExt2	DisabilityExt3	DisabilityExt4	DisabilityExt5	DisabilityExt6	Duration1	Duration2	Duration3	Duration4	Duration5	Duration6	EffectiveOnPH1	EffectiveOnPH2	EffectiveOnPH3	EffectiveOnPH4	EffectiveOnPH5	EffectiveOnPH6	EndTime1	EndTime2	EndTime3	EndTime4	EndTime5	EndTime6	Exemption1	Exemption2	Exemption3	Exemption4	Exemption5	Exemption6	FromDay1	FromDay2	FromDay3	FromDay4	FromDay5	FromDay6	StartTime1	StartTime2	StartTime3	StartTime4	StartTime5	StartTime6	ToDay1	ToDay2	ToDay3	ToDay4	ToDay5	ToDay6	TypeDesc1	TypeDesc2	TypeDesc3	TypeDesc4	TypeDesc5	TypeDesc6
679	18266	1P MTR M-F 9:30-18:30	2P MTR M-SAT 18.30 - 20.30	1P MTR Sat 7.30am to 6.30pm	1P SUN 7:30-18:30			120	240	120	120			60	120	60	60			0	0	0	0			18:30:00	20:30:00	18:30:00	18:30:00									1	1	6	0			9:30:00	18:30:00	7:30:00	7:30:00			5	6	6	0			1P Meter	2P	1P Meter	1P		
680	18267	1P MTR M-F 9:30-18:30	2P MTR M-SAT 18.30 - 20.30	1P MTR Sat 7.30am to 6.30pm	1P SUN 7:30-18:30			120	240	120	120			60	120	60	60			0	0	0	0			18:30:00	20:30:00	18:30:00	18:30:00									1	1	6	0			9:30:00	18:30:00	7:30:00	7:30:00			5	6	6	0			1P Meter	2P	1P Meter	1P		
681	18268	1P MTR M-F 9:30-18:30	2P MTR M-SAT 18.30 - 20.30	1P MTR Sat 7.30am to 6.30pm	1P SUN 7:30-18:30			120	240	120	120			60	120	60	60			0	0	0	0			18:30:00	20:30:00	18:30:00	18:30:00									1	1	6	0			9:30:00	18:30:00	7:30:00	7:30:00			5	6	6	0			1P Meter	2P	1P Meter	1P		
687	18274	1P MTR M-SAT 7:30-18:30	2P MTR M-SAT 18.30 - 20.30	1P SUN 7:30-18:30				120	240	120				60	120	60				0	0	0				18:30:00	20:30:00	18:30:00										1	1	0				7:30:00	18:30:00	7:30:00				6	6	0				1P Meter	2P	1P			
688	18275	1P MTR M-SAT 7:30-18:30	2P MTR M-SAT 18.30 - 20.30	1P SUN 7:30-18:30				120	240	120				60	120	60				0	0	0				18:30:00	20:30:00	18:30:00										1	1	0				7:30:00	18:30:00	7:30:00				6	6	0				1P Meter	2P	1P			
689	18276	4P DIS 7.30-8.30	P DIS ONLY 20.30 - 23.59					0	0					240	"1,440"					1	1					20:30:00	23:59:59											1	1					7:30:00	20:30:00					0	0					4P Disabled Only	Disabled Only				
690	18277	4P DIS 7.30-8.30	P DIS ONLY 20.30 - 23.59					0	0					240	"1,440"					1	1					20:30:00	23:59:59											1	1					7:30:00	20:30:00					0	0					4P Disabled Only	Disabled Only				
696	18283	1P TKTA M-F 9.30-6.30PM	2P TKTA M-SAT 6.30PM - 8.30PM	1P TKT SAT 7.30-6.30PM	1P SUN 7:30-18:30			120	240	120	120			60	120	60	60			0	0	0	0			18:30:00	20:30:00	18:30:00	18:30:00									1	1	6	0			9:30:00	18:30:00	7:30:00	7:30:00			5	6	6	0			1P Ticket A	2P Ticket A	1P Ticket A	1P		
697	18284	1P TKTA M-F 9.30-6.30PM	2P TKTA M-SAT 6.30PM - 8.30PM	1P TKT SAT 7.30-6.30PM	1P SUN 7:30-18:30			120	240	120	120			60	120	60	60			0	0	0	0			18:30:00	20:30:00	18:30:00	18:30:00									1	1	6	0			9:30:00	18:30:00	7:30:00	7:30:00			5	6	6	0			1P Ticket A	2P Ticket A	1P Ticket A	1P		
698	18285	1P TKTA M-F 9.30-6.30PM	2P TKTA M-SAT 6.30PM - 8.30PM	1P TKT SAT 7.30-6.30PM	1P SUN 7:30-18:30			120	240	120	120			60	120	60	60			0	0	0	0			18:30:00	20:30:00	18:30:00	18:30:00									1	1	6	0			9:30:00	18:30:00	7:30:00	7:30:00			5	6	6	0			1P Ticket A	2P Ticket A	1P Ticket A	1P		
